-79,401,2262
14,69,2112
-54,101,2124
-62,134,2134
-65,136,2135
-70,143,2136
-80,147,2137
-82,140,2143
-87,146,2142
-92,155,2136
-100,149,2143
-83,169,2100
-78,161,2095
-82,171,2090
-83,164,2093
-77,164,2088
-75,166,2088
-69,158,2087
-57,164,2074
-59,165,2073
-45,160,2062
-53,159,2069
-69,172,2087
-72,163,2091
-79,159,2107
-104,153,2154
-80,145,2124
-63,140,2102
24,4,2162
-22,62,2158
-65,132,2144
-61,136,2137
-58,136,2133
-55,137,2127
-34,0,2094
-47,52,2116
-30,9,2098
-15,-19,2086
31,-17,2161
27,-54,2132
1,-12,2139
-29,17,2141
-89,41,2185
-83,43,2175
-64,45,2147
-57,33,2143
-76,47,2149
-67,40,2146
-7,11,2083
-28,96,2102
-42,137,2118
-39,116,2107
-53,133,2118
-60,138,2116
-57,141,2120
-48,138,2115
-3,22,2092
0,15,2087
-2,15,2089
-2,14,2088
-22,74,2113
-40,126,2137
-46,106,2112
-19,19,2091
-45,100,2105
-64,164,2101
-54,155,2089
-13,165,2034
-11,177,2027
-16,185,2029
-15,177,2030
5,183,2024
16,195,2017
28,197,2009
36,197,2002
31,206,1998
18,216,2006
4,222,2016
-8,155,2103
0,31,2099
0,18,2069
0,42,2083
3,86,2143
15,114,2203
32,93,2208
19,94,2241
22,100,2223
20,97,2217
27,95,2214
22,98,2225
31,99,2216
19,110,2227
26,101,2228
-2,135,2150
3,124,2161
-2,103,2117
0,34,2079
-4,54,2076
0,11,2063
1,69,2103
-17,247,2122
-76,200,2127
-83,190,2120
-85,184,2112
-89,171,2101
-86,162,2098
-83,158,2096
-81,168,2104
-84,204,2137
-63,232,2205
-60,236,2193
-42,229,2156
-32,226,2143
-36,234,2152
-38,239,2157
-40,247,2161
-43,258,2170
-40,255,2161
-42,256,2168
-37,242,2162
-42,245,2167
-49,253,2181
-55,252,2202
-58,243,2214
-44,223,2188
-45,234,2196
-78,210,2150
-83,203,2141
-56,249,2166
-35,293,2188
-38,293,2185
-27,258,2227
-34,246,2181
-30,246,2166
-36,246,2182
-125,241,2243
-177,209,2220
-174,209,2224
-131,223,2188
-87,280,2194
-70,290,2170
-39,262,2222
-59,266,2254
-47,319,2195
-37,345,2250
-80,321,2312
-88,273,2346
-90,255,2357
-86,263,2361
-86,284,2357
-83,279,2350
-90,271,2336
-96,278,2333
-94,278,2338
-96,284,2353
-98,294,2391
-98,292,2395
-87,288,2402
-82,297,2405
-82,290,2353
-71,283,2295
-66,291,2282
-75,305,2283
-52,306,2436
-48,320,2456
-46,341,2465
-45,335,2472
-42,329,2493
-35,287,2505
17,473,2427
41,437,2466
40,437,2453
27,433,2383
33,410,2368
40,370,2416
43,386,2423
37,388,2432
41,381,2445
56,374,2478
120,394,2456
133,393,2474
133,396,2480
124,395,2476
130,400,2491
142,399,2502
160,400,2527
152,368,2525
132,364,2509
6,34,2135
-13,-5,2107
-19,-5,2110
-75,124,2135
-74,125,2137
-77,126,2144
-42,120,2101
-42,130,2101
-65,152,2128
-79,175,2148
-115,194,2240
-109,164,2231
-92,153,2186
-93,148,2198
-85,142,2187
-65,134,2151
-64,145,2134
-73,132,2145
-69,134,2136
-78,146,2130
-58,149,2098
-90,164,2139
-96,152,2158
-83,154,2154
-77,149,2147
-82,170,2149
-87,182,2155
-81,180,2162
-110,197,2225
-103,186,2213
-108,175,2220
-99,150,2197
-96,166,2182
-104,184,2173
-89,171,2128
-85,175,2111
-88,179,2107
-88,184,2097
-85,183,2093
-48,396,2285
-69,364,2264
-83,355,2275
-117,365,2295
-155,353,2269
-105,337,2266
-69,315,2254
-62,305,2253
-89,313,2245
-86,307,2283
-62,308,2392
-67,306,2418
-64,310,2435
-37,308,2499
-38,212,2398
-65,343,2248
-95,131,2136
-91,102,2133
-77,357,2196
-88,410,2203
-94,392,2227
-106,176,2165
-56,450,2266
-99,186,2167
-111,171,2129
-111,171,2136
-125,195,2164
-104,176,2125
-82,174,2105
-110,310,2196
-150,201,2112
-117,399,2306
-149,424,2284
-162,420,2295
-147,502,2371
-195,497,2294
-154,372,2266
-151,346,2252
-150,426,2236
-149,508,2247
-149,518,2269
-169,527,2264
-175,495,2286
-199,465,2282
-179,311,2253
-143,187,2182
-84,512,2248
-138,458,2285
-138,418,2277
-126,410,2287
-137,411,2275
-133,423,2288
-148,425,2281
-162,280,2170
-137,240,2207
-131,189,2185
-131,196,2180
-174,450,2253
-150,456,2277
-147,484,2266
-92,535,2210
-130,485,2264
-133,498,2271
-148,532,2256
-151,550,2255
-161,565,2260
-84,564,2238
-201,414,2220
-225,407,2222
-210,371,2162
-216,375,2158
-224,379,2165
-135,597,2174
-144,609,2156
-128,622,2194
